28.10.2018,10:30,Столкновение,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),129,785,47.880446,56.940907,0,0,1,0
27.10.2018,21:10,Наезд на препятствие,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),123,2,47.901828,56.899436,0,0,3,0
18.10.2018,01:30,Опрокидывание,"Республика Марий Эл, Оршанский",,,Воробьи - Табашино,0,852,47.859793,56.964538,0,0,1,0
08.10.2018,21:00,Наезд на стоящее ТС,"Республика Марий Эл, Оршанский, д Марково",ул Центральная,105,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),,,47.917374,56.85566,0,0,1,0
22.09.2018,18:50,Наезд на пешехода,"Республика Марий Эл, Оршанский",,,Малая Орша - Большая Орша,0,853,47.843249,56.919304,0,0,1,0
11.09.2018,21:00,Опрокидывание,"Республика Марий Эл, Оршанский",,,Анисково - Лужбеляк - Малый Кугланур,10,650,48.229551,57.058085,0,0,2,0
08.09.2018,18:30,Опрокидывание,"Республика Марий Эл, Оршанский, д Чирки",ул Новая,15б,,,,48.23984,56.899594,0,0,1,0
16.08.2018,20:10,Наезд на пешехода,"Республика Марий Эл, Оршанский",,,Пуялка - Чирки,11,700,48.228457,56.894297,1,0,0,0
11.08.2018,13:20,Столкновение,"Республика Марий Эл, Оршанский, д Марково",ул Центральная,2,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),,,47.914102,56.868275,0,0,1,0
06.08.2018,07:00,Падение пассажира,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),121,850,47.906699,56.886912,0,0,1,0
04.08.2018,21:05,Иной вид ДТП,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),122,20,47.903137,56.896629,0,0,1,0
